Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground
LIE,21.34120359,-68.56024402,52.33663563,LIE-14,EVE_GIG_LAW_OLD_TAU,EVE-LIE_GIG-LIE_LAW-LIE_LIE-OLD_LIE-TAU,EVE-LIE-14_GIG-LIE-14_LAW-LIE-14_LIE-OLD-14_LIE-TAU-14,EVE-14_GIG-14_LAW-14_OLD-14_TAU-14,0
OLD,-0.811181406,-60.86001002,71.98093063,OLD-14,EVE_FOG_LAW_LIE_TAU,EVE-OLD_FOG-OLD_LAW-OLD_LIE-OLD_OLD-TAU,EVE-OLD-14_FOG-OLD-14_LAW-OLD-14_LIE-OLD-14_OLD-TAU-14,EVE-14_FOG-14_LAW-14_LIE-14_TAU-14,0
TAU,-21.30092041,-46.13249602,61.36783063,TAU-14,FOG_LAW_LIE_OLD,FOG-TAU_LAW-TAU_LIE-TAU_OLD-TAU,FOG-TAU-14_LAW-TAU-14_LIE-TAU-14_OLD-TAU-14,FOG-14_LAW-14_LIE-14_OLD-14,0
EVE,30.91119559,-41.28148002,69.58921863,EVE-14,LAW_OLD_GIG_IRE_LIE,EVE-LAW_EVE-OLD_EVE-GIG_EVE-IRE_EVE-LIE,EVE-LAW-14_EVE-OLD-14_EVE-GIG-14_EVE-IRE-14_EVE-LIE-14,LAW-14_OLD-14_GIG-14_IRE-14_LIE-14,0
GIG,41.95506859,-21.83033602,51.21567163,GIG-14,ERA_EVE_IRE_LIE_LAW,ERA-GIG_EVE-GIG_GIG-IRE_GIG-LIE_GIG-LAW,ERA-GIG-14_EVE-GIG-14_GIG-IRE-14_GIG-LIE-14_GIG-LAW-14,ERA-14_EVE-14_IRE-14_LIE-14_LAW-14,0
FOG,-11.92286041,-24.93838202,78.58385063,FOG-14,TAU_RIB_OLD,FOG-TAU_FOG-RIB_FOG-OLD,FOG-TAU-14_FOG-RIB-14_FOG-OLD-14,TAU-14_RIB-14_OLD-14,0
ERA,13.73802359,14.67203198,62.12956063,ERA-14,IRE_RIB_GIG_LAW,ERA-IRE_ERA-RIB_ERA-GIG_ERA-LAW,ERA-IRE-14_ERA-RIB-14_ERA-GIG-14_ERA-LAW-14,IRE-14_RIB-14_GIG-14_LAW-14,0
LAW,10.22523459,-26.85873602,65.73183363,LAW-14,ERA_EVE_GIG_IRE_RIB_LIE_TAU_OLD,ERA-LAW_EVE-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-LIE_LAW-TAU_LAW-OLD,ERA-LAW-14_EVE-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-RIB-14_LAW-LIE-14_LAW-TAU-14_LAW-OLD-14,ERA-14_EVE-14_GIG-14_IRE-14_RIB-14_LIE-14_TAU-14_OLD-14,0
RIB,0.777001594,-2.205857017,78.78930963,RIB-14,ERA_FOG_IRE_LAW,ERA-RIB_FOG-RIB_IRE-RIB_LAW-RIB,ERA-RIB-14_FOG-RIB-14_IRE-RIB-14_LAW-RIB-14,ERA-14_FOG-14_IRE-14_LAW-14,0
IRE,36.45626059,-3.166204017,68.58317463,IRE-14,ERA_EVE_GIG_LAW_RIB,ERA-IRE_EVE-IRE_GIG-IRE_IRE-LAW_IRE-RIB,ERA-IRE-14_EVE-IRE-14_GIG-IRE-14_IRE-LAW-14_IRE-RIB-14,ERA-14_EVE-14_GIG-14_LAW-14_RIB-14,0
